Symbol,DY,PB,PCYH,PCYL,PE,PEG,PS,SR,SECTOR
CPLA,1.88,4.66,-0.1144,0.8012,23.14,2.59,2.32,1.87,Consumer Services
CBF,1.28,1.49,-0.1689,0.3497,25.79,1.96,5.82,5.55,Finance
CCBG,1.06,1.15,-0.1931,0.41950000000000004,24.87,3.87,2.47,3.12,Finance
CPLP,9.52,0.52,-0.1679,0.23440000000000003,10.03,3.73,1.7,1.26,Transportation
CFFN,2.45,1.35,-0.18539999999999998,0.0604,22.39,4.41,8.67,9.57,Finance
CSTR,0.0,1.45,-0.17489999999999997,0.18969999999999998,27.52,0.0,4.49,8.36,Finance
CARB,0.0,60.92,-0.1295,1.1737,63.62,1.25,2.45,4.37,Technology
CATM,0.0,3.4,-0.3845,0.0271,22.07,0.86,1.18,10.01,Miscellaneous
CTRE,4.03,2.37,-0.0219,0.4449,32.94,0.96,11.93,1.61,Consumer Services
CARO,0.53,1.79,-0.0321,0.8479000000000001,20.8,0.0,5.5,7.24,Finance
CART,0.0,1.13,-0.4042,0.2768,35.05,0.0,2.34,0.55,Finance
TAST,0.0,2.82,-0.302,0.276,15.35,1.63,0.45,3.61,Consumer Services
CACB,0.0,1.44,-0.15259999999999999,0.37,24.81,2.07,4.29,1.98,Finance
CASY,0.84,3.7,-0.1501,0.07769999999999999,23.58,2.92,0.7,6.94,Consumer Durables
CASS,1.48,3.27,-0.1716,0.3048,28.18,0.0,5.42,22.84,Miscellaneous
CATY,2.28,1.59,-0.0989,0.40049999999999997,16.5,1.91,6.3,4.06,Finance
CVCO,0.0,2.74,-0.0883,0.2968,29.58,1.95,1.4,5.86,Basic Industries
CBFV,3.38,1.17,-0.11560000000000001,0.2434,14.66,1.53,3.06,1.76,Finance
CBOE,1.16,3.52,-0.0014000000000000002,0.4068,48.34,1.4,11.47,1.41,Finance
CDK,0.92,46.78,-0.1039,0.1535,30.94,2.52,4.04,4.41,Miscellaneous
CDW,1.08,10.34,-0.0274,0.5256000000000001,24.14,1.36,0.66,2.95,Consumer Services
CELG,0.0,11.93,-0.0851,0.2368,43.85,0.77,7.81,2.0,Health Care
CETX,0.58,0.99,-0.5969,0.67,6.22,0.0,0.28,1.77,Capital Goods
CETXP,0.0,1.82,-0.327,1.1565,12.39,0.0,0.51,0.0,Capital Goods
CDEV,0.0,1.36,-0.2437,0.6435,229.86,0.0,22.28,10.82,Energy
CSFL,0.98,1.97,-0.09949999999999999,0.6548,18.89,2.2,5.54,2.75,Finance
CFBK,0.0,0.84,-0.4451,0.5906,40.4,0.0,2.64,0.37,Finance
CENT,0.0,2.65,-0.2194,0.6776000000000001,25.33,2.17,0.82,6.85,Consumer Durables
CENTA,0.0,2.55,-0.19579999999999997,0.7234999999999999,24.43,2.07,0.79,1.92,Consumer Durables
CVCY,1.12,1.53,-0.1316,0.6659,15.19,2.05,4.15,1.2,Finance
CFCB,0.0,1.38,-0.0233,0.6232,28.04,0.0,4.26,0.05,Finance
CNBKA,0.79,1.38,-0.0758,0.4988,13.18,0.0,3.7,6.94,Finance
CNTY,0.0,1.44,-0.0934,0.4926,21.78,0.8,1.37,2.56,Consumer Services
CRNT,0.0,1.92,-0.305,1.0417,19.47,0.69,0.73,0.77,Technology
CERN,0.0,5.23,-0.0378,0.38159999999999994,33.48,1.79,4.46,8.97,Technology
CEVA,0.0,4.19,-0.025699999999999997,0.7454000000000001,60.52,1.4,11.91,3.86,Technology
CYOU,0.0,1.78,-0.0364,1.1565,14.82,-2.06,4.01,1.52,Technology
GTLS,0.0,1.55,-0.12210000000000001,0.6459,37.07,3.13,1.25,5.62,Capital Goods
CHTR,0.0,2.25,-0.0369,0.5764,22.92,0.0,2.44,6.68,Consumer Services
CHFN,1.43,1.25,-0.1407,0.46759999999999996,20.11,0.0,3.82,1.74,Finance
CHKP,0.0,5.17,-0.0074,0.496,25.78,2.2,10.38,6.37,Technology
CHFC,2.31,1.28,-0.16579999999999998,0.3308,20.32,3.89,5.94,7.67,Finance
CHMG,2.65,1.25,-0.0353,0.4233,18.1,0.0,2.64,4.89,Finance
PLCE,0.93,3.77,-0.14880000000000002,0.524,17.68,1.85,1.05,6.13,Consumer Services
CALI,0.0,0.41,-0.48829999999999996,1.3529,1.97,0.0,0.02,0.17,Consumer Services
CAAS,0.0,0.52,-0.36310000000000003,0.6355,7.24,0.7,0.34,1.87,Capital Goods
CBPO,0.0,6.17,-0.16820000000000002,0.1783,29.6,1.6,8.94,4.84,Health Care
CCRC,0.0,10.03,-0.2677,1.0922,35.8,0.0,3.93,0.45,Miscellaneous
HGSH,0.0,0.5,-0.4671,0.1724,20.0,0.0,1.65,26.34,Finance
CJJD,0.0,1.74,-0.23579999999999998,0.1438,159.09,0.0,0.54,5.37,Consumer Durables
CLDC,1.67,1.13,-0.4878,0.2712,6.26,0.0,4.7,0.36,Finance
HTHT,0.0,6.64,-0.0218,1.4989,44.14,58.94,5.54,2.4,Consumer Services
CXDC,0.0,0.359,-0.19643,0.52913,3.115,0.0,0.19,0.74,Capital Goods
IMOS,13.06,26.98,-0.0074,0.4376,151.82,829.73,26.85,0.66,Technology
CHDN,0.78,3.98,-0.027999999999999997,0.4201,25.09,2.16,2.11,16.62,Consumer Services
CHUY,0.0,2.9,-0.2814,0.0495,26.62,1.67,1.38,10.68,Consumer Services
CMCT,5.63,1.14,-0.1446,0.1348,7.2,0.0,4.95,3.09,Consumer Services
CINF,2.87,1.6,-0.1217,0.0264,19.25,78.63,2.07,7.27,Finance
CTAS,1.06,6.06,-0.0286,0.3718,25.96,2.33,2.57,9.0,Consumer Non-Durables
CRUS,0.0,3.68,-0.0154,0.9078,16.95,0.62,2.73,3.64,Technology
CSCO,3.69,2.4,-0.08960000000000001,0.1611,15.99,1.28,3.24,1.82,Technology
CTRN,1.72,1.18,-0.1883,0.2525,20.19,0.95,0.39,2.26,Consumer Services
CZNC,4.57,1.48,-0.14529999999999998,0.1355,17.6,0.0,4.96,8.38,Finance
CZWI,1.17,1.12,-0.047400000000000005,0.4752,24.79,0.0,2.76,0.95,Finance
CZFC,0.71,1.25,-0.005699999999999999,0.5935,13.58,0.0,2.42,0.06,Finance
CIZN,3.99,1.33,-0.0962,0.142,17.68,0.0,3.36,6.33,Finance
CTXS,0.0,7.25,-0.0625,0.3586,27.15,1.64,3.67,3.43,Technology
CHCO,2.68,2.09,-0.1417,0.49579999999999996,17.31,1.76,5.6,13.31,Finance
CIVB,1.16,1.35,-0.13140000000000002,0.7939,13.4,1.98,3.11,1.13,Finance
CIVBP,0.0,4.34,-0.14400000000000002,0.8393999999999999,43.67,0.0,10.01,0.0,Finance
CLNE,0.0,0.65,-0.5042,0.0259,6.86,9.44,0.9,3.99,Public Utilities
CLFD,0.0,3.0,-0.3611,0.0147,27.66,0.0,2.5,14.03,Public Utilities
CLRO,2.79,1.16,-0.2024,0.10439999999999999,147.79,1.93,1.85,3.9,Public Utilities
CSBK,1.48,1.2,-0.0698,0.1531,77.48,0.0,12.44,23.96,Finance
CME,2.24,1.94,-0.0754,0.2784,25.54,2.93,11.17,5.16,Finance
CCNE,2.98,1.44,-0.2304,0.2818,14.57,0.0,3.39,2.85,Finance
CWAY,0.0,1.2,-0.0096,0.6776000000000001,24.91,0.0,3.16,0.76,Finance
COBZ,1.25,2.14,-0.10779999999999999,0.4779,18.66,1.84,4.27,12.97,Finance
COKE,0.45,7.6,-0.0181,0.8837,38.29,0.0,0.61,1.99,Consumer Non-Durables
CVLY,2.07,1.39,-0.113,0.32689999999999997,16.19,0.0,3.54,14.94,Finance
JVA,0.0,1.11,-0.2065,0.3333,13.79,0.0,0.37,1.66,Consumer Non-Durables
CGNX,0.37,7.97,-0.0062,1.4193,45.57,1.89,14.4,3.4,Capital Goods
CTSH,0.0,3.79,-0.0051,0.46990000000000004,26.19,1.43,2.94,5.54,Technology
COHR,0.0,6.22,-0.0453,1.8784,50.35,1.6,4.92,2.94,Capital Goods
